130305	Is it a good idea to measure the performance of a method by using unit test timeout?	In a project where there are non-functional requirements which specify the maximum execution time for a specific action, QA must check the performance of this action on a dedicated machine using precise hardware under precise load, both hardware and load being specified in the requirements.  On the other hand, some erroneous changes to the source code may severely impact the performance. Noticing this negative impact early, before the source code reaches source control and is verified by QA department, could be beneficial in terms of time lost by QA department reporting the issue, and by the developer fixing it several commits later.  To do this, is it a good idea:   To use unit tests to have an idea of the time spent executing the same action² n times, To use per-test timeout through [TestMethod, Timeout(200)] attribute in C#?   I expect several problems with this approach:   Conceptually, unit tests are not really for that: they are expected to test a small part of a code, nothing more: neither the check of a functional requirement, nor an integration test, nor a performance test. Does unit test timeout in Visual Studio measure really what is expected to be measured, taking in account that initialization and cleanup are nonexistent for those tests or are too short to affect the results? Measuring performance this way is ugly. Running a benchmark on any machine¹ independently of the hardware, load, etc. is like doing a benchmark that shows that one database product is always faster than another. On the other hand, I don't expect those unit tests to be a definitive result, nor something which is used by the QA department. Those unit tests will be used just to give a general idea about the expected performance, and essentially to alert the developer that his last modification broke something, severely affecting performance. Test Driven Development (TDD) is impossible for those tests. How would it fail, in the first place, before starting to implement code? Too many performance tests will affect the time required to run the tests, so this approach is limited to short actions only.   Taking in account those problems, I still find it interesting to use such unit tests if combined with the real performance metrics by QA department.  Am I wrong? Are there other problems which makes it totally unacceptable to use unit tests for this?  If I'm wrong, what is the correct way to alert the developer that a change in source code severely affected performance, before the source code reaches source control and is verified by QA department?    ¹ Actually, the unit tests are expected to run only on developer PCs having comparable hardware performance, which reduces the gap between the fastest machines which will never be able to fail the performance test, and the slowest machines which will never succeed at passing it.  ² By action, I mean a rather short piece of code which spends a few milliseconds to run. 	FALSE
366983	Should a Business Analyst write API user stories?	I work as a Business Analyst in a S/W development firm. At a previous company I was a BA in Asset Management, and the BAs there were more Business oriented (i.e. less technically inclined).  We are currently building a web application and I'm using JIRA to write the user stories, acceptance criteria etc for the functional requirements.  I'm writing user stories to describe functional requirements:  For example:     As a Client User, I want a confirmation email to be sent once I've   registered an account, So that I have confirmation that my   registration has been completed.   Acceptance Criteria:   The registration wizard will send an email to the registered email ID once the wizard has registered the Client User A confirmation message will be displayed on screen so that the Client User knows that registration has completed Client User will automatically be redirected to the Portal upon clicking on 'Finish' etc.     There are some developers that think I need to write the associated API tickets as well, and there are other developers that think it's not the role of the BA.  The thing is that whilst I've studied IT, I've never actually studied APIs in detail nor have I previously worked as a professional developer. I moved into Business Analysis directly.  Is it the role of a BA to write API tickets in a software development project? Or is it the role of the developer to write the associated API tickets as subtasks of the stories I write?  All the BA sites I've visited only talk about functional/non-functional requirements when writing User Stories (like the example I provided), and not of writing API tickets.  Thanks! 	TRUE
386870	Is there a recommended format for writing a technical debt story?	Our team is starting to refine a set of stories that cover components and UI as part of an upgrade to a newer version of Angular. These components will then be used to recreate screens in an existing application. We are considering this work technical debt.  Is there a recommended format for writing technical debt stories?  We use the 'As a ... I need to ...so I can ...', as well as Gherkin's 'Given > When > Then' acceptance criteria, for our standard stories that are more directly customer focused.  Is there something similar that should be used for these tech debt stories? Or should we just list technical requirements? 	TRUE
390502	Usability or performance requirement?	Usability requirements are focused on User interfaces, how easy they are to learn, how quick access to some frequent menu options are provided, etc. Suppose we have the following requirement:   The system should show menu options after user login within 1 second.   What type of Non Functional Requirements is this? A performance requirement or usability? Thanks 	TRUE
390307	Use-Cases for Two Inherited Actors	We have been developing a requirements model for a travel agency system. There are two kinds of member users: premium and free. Both users are able to cancel their previous reservations. Unlike premium users, free users have to pay a cancellation fee as a result of cancellation.   In the use case diagram for the previous functions we have the following struggle: Shall we distinguish the cancel use case for different user types? That is, when a free user makes a cancellation, it should include the fee payment use case. But, we also know that reservation cancellation is a function that is same for both kinds of users (Although it may result in some other use case if it is a free user). So we are not sure whether a single use case is enough to show system capability. Moreover, we should use extends relation to show that sometimes it may include the fee payment. But if two different cancel use cases are used, we can show explicitly the includes relation of a free user. We will appreciate any suggestions. Thanks in advance. 	TRUE
389062	Identifying the Redundant Requirements in Scrum	I'm working on the research to resolve the Requirements conflicts in distributed Scrum where teams are distributed over multiple locations. I'm proposing a model that consists of five steps including identifying redundant requirements, removing them, assigning unique IDs to each requirement, storing requirement information and resolving requirement conflicts. I want to ask that:   How Redundant requirements are identified in distributed Scrum?  How Redundant requirements are removed? How unique IDs are assigned to each requirement? How requirement information is stored? and How requirement conflicts are resolved?  	TRUE
389038	Formulating requirements using ISO/IEC/IEEE 29148-2011/2018	I'm trying to formulate some requirements using the ISO/IEC/IEEE 29148 standards. I know that the following is correct according to the standards.  The system [Subject] shall stop [Action] only when the stop-button is pressed [Condition].  I'm trying to do the same but for two conditions, as follows:  The system shall stop only when either the stop-button is pressed or when the x-things is reached.  I don't feel like this is correct but maybe it is? I couldn't find any straight-forward answer to my question in the standards but maybe someone here has some experience with writing formal requirements? 	TRUE
366984	How to document non-functional requirements in User Stories?	I work as a business analyst in a software development firm. In my previous organisation, the development was done using waterfall and we wrote: 'Business Requirement Documents' (BRDs).  In my current role, the team is using Agile Scrum and JIRA to write the user stories to capture the functional requirements etc.  My question is, how best to capture the non-functional requirements in JIRA as a story?  In a BRD this was pretty straightforward, add the non-functional requirements in its own section and make sure each requirement has a unique ID next to it.     ID:   001   Requirement:   The web app shall be compatible with the following browsers: IE11, Firework 50 etc...   But in Agile Scrum, and especially in JIRA, how should these be documented? 	TRUE
388145	Should a Product Owner be responsible for an initial prototype?	Is it typical that a Product Owner (or even a BA) creates a high-level prototype/wireframe of a system based on the requirements document to ensure that the requirements are clear enough to start working on user stories for the UX &amp; development teams?  I am currently being 'promoted' from a developer to UX designer and tasked with creating mock-ups direct from a requirements document, but the document is unclear on several aspects and have spent most of my time thus far doing what I would consider more PO/BA work of clarifying basic things in the requirements document. I am aware that this process is iterative and the UX/dev teams will probably need to discuss/clarify items during design &amp; development, but is there some sort of 'minimum viable requirements' stage the PO is expected to deliver before this happens and how is this determined?  Edit for clarification: prototype here refers to a high-level visual aid created in something like Sketch, rather than a first revision implementation in code. In addition, in my example, no user stories exist, only a raw, incomplete requirements document. 	TRUE
388593	what do you do when during UAT the customer realizes something major that should be included in the system?	during uat, the user realizes a major missing functionality that should be included in the system. this is not related to the implementation of the application, but with the design and the initial laid out initial requirements.  if you push the current state to production, the app will appear unusable since it is missing a key functionality (that the customer didn't included in the requirements earlier).  you can also continue to develop but this will extend the timeline for the accomplishment of the app. and it would appear that the developers are behind schedule.  how do I proceed with this one? 	TRUE
