agile,"13","58","72"
api,"2","8","7"
requirements,"110","448","712"
functional-requirements,"7","19","21"
development-process,"10","24","71"
user-story,"17","63","128"
technical-debt,"1","1","1"
product-backlog,"1","1","1"
software,"4","11","6"
requirements-management,"2","3","8"
scrum,"8","43","44"
jira,"1","3","9"
user-experience,"4","19","11"
prototyping,"2","8","4"
product-owner,"1","5","3"
sdlc,"4","13","16"
uml,"12","23","25"
use-case,"15","29","45"
diagrams,"3","6","10"
web-applications,"1","8","4"
mobile,"1","1","2"
specifications,"12","30","36"
release,"1","4","10"
iterative-development,"1","4","10"
usability,"2","9","12"
animation,"1","2","3"
documentation,"4","5","8"
domain-model,"1","7","2"
systems-analysis,"13","32","31"
large-scale-scrum,"1","1","4"
non-functional,"1","4","1"
design,"20","78","147"
engineering,"3","9","28"
project-management,"14","114","112"
domain-driven-design,"1","6","2"
project,"4","20","21"
object-oriented-design,"1","2","1"
modeling,"2","9","5"
quality-attributes,"4","10","41"
quality,"2","7","11"
startup,"1","4","4"
kanban,"2","8","10"
web-services,"1","2","4"
latency,"1","2","4"
ethics,"1","9","3"
iso,"1","4","2"
books,"1","3","6"
management,"4","20","38"
communication,"2","37","45"
planning,"2","9","18"
configuration,"1","2","3"
code-complete,"1","1","1"
estimation,"3","6","11"
acceptance-testing,"3","11","14"
qa,"1","2","1"
customer-relations,"3","13","24"
security,"1","4","6"
login,"1","2","1"
theory,"1","1","2"
standards,"2","3","19"
rational-unified-process,"1","1","1"
feature-requests,"1","8","21"
testing,"4","25","10"
ui,"1","2","3"
freelancing,"2","3","23"
furps+,"1","0","2"
annotations,"1","2","1"
embedded-systems,"1","4","6"
decisions,"1","8","12"
iphone,"2","7","7"
frameworks,"1","15","74"
ios,"1","15","74"
functional-programming,"1","2","8"
haskell,"1","2","8"
logic,"1","2","8"
formal-methods,"1","8","4"
gui-design,"1","1","3"
coding-style,"1","1","3"
implementations,"1","1","3"
development-methodologies,"1","2","20"
bdd,"1","1","1"
lean,"1","2","3"
srs,"2","3","4"
terminology,"2","4","2"
change,"1","2","4"
architecture,"3","11","3"
code-quality,"1","3","3"
modelling,"1","3","3"
client-relations,"2","2","5"
teamwork,"2","3","6"
distributed-development,"1","1","2"
bug,"1","3","3"
users,"1","3","2"
verification,"2","5","10"
rules-and-constraints,"1","3","1"
web-development,"3","10","10"
experience,"1","8","7"
asp.net-mvc,"1","2","1"
sql-server,"1","2","1"
outsourcing,"1","2","7"
waterfall,"2","13","14"
hardware,"1","6","26"
technical-support,"1","6","26"
budget,"1","4","3"
programming-practices,"1","2","2"
client,"1","2","2"
metrics,"2","5","12"
measurement,"1","2","5"
cmmi,"1","2","5"
contract,"1","3","6"
tools,"2","7","19"
validation,"2","5","6"
productivity,"2","5","22"
business,"4","28","91"
marketing,"1","4","2"
project-planning,"2","16","5"
case-tools,"1","5","7"
c++,"1","3","7"
organization,"1","3","4"
changes,"1","4","6"
issue-tracking,"1","10","23"
minimal-requirements,"1","8","12"
wiki,"1","3","9"
meetings,"1","3","2"
legacy,"1","8","6"
pricing,"1","11","7"
system-requirements,"3","10","250"
language-agnostic,"2","13","24"
classification,"1","2","1"
sharepoint,"1","1","2"
tfs,"3","6","8"
ooad,"1","1","1"
system,"2","2","5"
scalable,"1","2","4"
extensible,"1","2","4"
business-rules,"1","2","7"
user-stories,"9","39","50"
summary,"1","26","28"
evaluation,"1","4","5"
rhapsody,"1","0","1"
sysml,"1","0","1"
enterprise-architect,"2","2","2"
atomic,"1","1","1"
atomicity,"1","1","1"
convention,"1","1","1"
analysis,"3","5","4"
user-interface,"1","5","5"
trac,"1","2","7"
methodology,"3","17","10"
include,"1","1","1"
extend,"1","1","1"
extreme-programming,"2","12","11"
software-design,"1","1","2"
high-availability,"1","1","6"
tfs2010,"2","3","4"
risk-management,"1","2","3"
msf,"1","2","3"
jquery,"1","7","7"
currency,"1","7","7"
b2b,"1","3","6"
scope,"3","18","16"
scope-creep,"2","25","26"
ms-word,"1","1","1"
catalog,"1","3","1"
atdd,"1","1","1"
product-management,"2","12","23"
backlog,"1","9","22"
medical,"1","4","6"
process-management,"1","3","1"
object,"1","3","1"
orientation,"1","3","1"
java,"1","1","6"
version-control,"1","1","6"
change-management,"1","7","8"
report,"2","2","7"
agile-project-management,"1","1","1"
c,"1","7","9"
embedded,"1","7","9"
formal-verification,"1","8","4"
vision,"1","5","2"
tdd,"1","3","4"
nunit,"1","3","4"
database-design,"2","7","2"
hyperlink,"1","1","4"
capture,"1","1","2"
vsto,"1","2","2"
outlook-addin,"1","2","2"
cardinality,"2","4","2"
objective-c,"1","3","2"
xcode,"1","3","2"
history,"1","2","1"
real-time-systems,"1","1","1"
php,"1","2","3"
perl,"1","2","3"
projects,"1","2","3"
erd,"1","3","1"
model,"1","1","1"
code-generation,"1","6","2"
dns,"1","6","2"
dsl,"1","6","2"
deadlines,"1","5","3"
hci,"1","6","11"
process,"1","6","10"
scalability,"1","6","3"
quantify,"1","6","3"
nomenclature,"1","3","1"
accessibility,"1","3","1"
review,"1","1","2"
maintenance,"1","9","8"
system-administration,"1","9","8"
