project-management,"16","127","130"
unit-testing,"2","2","4"
performance,"1","5","9"
requirements,"258","792","1474"
agile,"14","62","76"
api,"1","1","2"
functional-requirements,"7","19","21"
development-process,"11","25","74"
user-story,"18","66","133"
technical-debt,"1","1","1"
product-backlog,"1","1","1"
software,"4","11","6"
requirements-management,"3","5","9"
scrum,"8","43","44"
jira,"3","7","12"
user-experience,"4","19","11"
prototyping,"2","8","4"
product-owner,"1","5","3"
sdlc,"5","15","17"
uml,"12","23","25"
use-case,"15","29","45"
diagrams,"3","6","10"
web-applications,"2","12","21"
mobile,"1","1","2"
specifications,"18","41","70"
users,"2","7","8"
system,"5","8","21"
data,"1","1","1"
release,"1","4","10"
iterative-development,"1","4","10"
batch,"1","1","2"
usability,"2","9","12"
animation,"1","2","3"
documentation,"6","8","10"
engineering,"5","12","43"
iso,"2","5","5"
domain-model,"2","8","3"
systems-analysis,"14","34","32"
large-scale-scrum,"1","1","4"
bdd,"2","3","2"
non-functional,"1","4","1"
design,"25","97","177"
domain-driven-design,"1","6","2"
project,"4","20","21"
object-oriented-design,"2","4","13"
modeling,"2","9","5"
tdd,"1","3","4"
quality-attributes,"4","10","41"
programming-practices,"4","22","147"
rewrite,"2","12","21"
quality,"2","7","11"
startup,"2","6","6"
legacy-code,"1","7","8"
api-design,"1","1","2"
kanban,"2","8","10"
web-services,"1","2","4"
latency,"1","2","4"
ethics,"1","9","3"
books,"1","3","6"
ocl,"1","1","1"
management,"4","20","38"
communication,"2","37","45"
architecture,"3","11","3"
planning,"2","9","18"
configuration,"1","2","3"
code-complete,"1","1","1"
government,"1","8","24"
estimation,"3","6","11"
acceptance-testing,"4","14","22"
methodology,"3","17","10"
project-planning,"2","16","5"
qa,"1","2","1"
customer-relations,"4","22","57"
maintenance,"1","9","8"
c++,"4","6","9"
teamwork,"4","10","40"
client-relations,"4","9","24"
business-logic,"1","1","4"
pair-programming,"1","2","14"
security,"2","5","8"
login,"1","2","1"
theory,"1","1","2"
standards,"2","3","19"
rational-unified-process,"1","1","1"
feature-requests,"1","8","21"
testing,"8","36","22"
ui,"1","2","3"
freelancing,"2","3","23"
furps+,"1","0","2"
annotations,"1","2","1"
embedded-systems,"1","4","6"
decisions,"2","12","17"
iphone,"6","13","15"
frameworks,"2","4","6"
ios,"4","6","4"
functional-programming,"1","2","8"
haskell,"1","2","8"
logic,"1","2","8"
formal-methods,"1","8","4"
outsourcing,"2","9","31"
gui-design,"1","1","3"
terminology,"2","4","2"
functions,"1","8","16"
features,"1","8","16"
coding-style,"1","1","3"
implementations,"1","1","3"
development-methodologies,"1","2","20"
team-foundation-server,"1","2","1"
hardware,"7","15","39"
lean,"1","2","3"
srs,"2","3","4"
change,"1","2","4"
web-development,"4","12","11"
browser-compatibility,"1","2","1"
code-quality,"1","3","3"
modelling,"1","3","3"
distributed-development,"1","1","2"
math,"1","3","3"
prediction,"1","2","3"
bug,"1","3","3"
verification,"1","2","1"
rules-and-constraints,"1","3","1"
experience,"1","8","7"
collaboration,"2","7","22"
asp.net-mvc,"1","4","8"
sql-server,"1","2","1"
windows,"5","10","25"
waterfall,"2","13","14"
technical-support,"1","6","26"
refactoring,"1","3","7"
application-design,"1","3","7"
learning,"1","3","5"
budget,"1","4","3"
client,"1","2","2"
wpf,"1","4","5"
metrics,"2","5","12"
measurement,"1","2","5"
cmmi,"1","2","5"
contract,"1","3","6"
tools,"2","7","19"
statistics,"1","2","7"
workflows,"1","5","5"
validation,"5","13","11"
productivity,"2","5","22"
business,"4","28","91"
cucumber,"1","2","1"
marketing,"1","4","2"
wcf,"1","1","1"
deadlines,"1","5","3"
case-tools,"1","5","7"
organization,"1","3","4"
changes,"1","4","6"
issue-tracking,"1","10","23"
minimal-requirements,"1","8","12"
wiki,"1","4","3"
meetings,"1","3","2"
legacy,"1","1","3"
open-source,"1","1","3"
pricing,"1","11","7"
python,"6","11","198"
dependencies,"2","5","160"
python-import,"1","4","159"
amazon-sagemaker,"1","0","1"
system-requirements,"5","13","265"
language-agnostic,"3","24","26"
stl,"1","0","1"
containers,"1","0","1"
c++-standard-library,"1","0","1"
c#,"4","9","58"
.net,"3","8","56"
c#-7.0,"1","2","45"
classification,"1","2","1"
python-3.x,"1","1","1"
google-app-engine,"1","1","1"
google-cloud-platform,"1","1","1"
